,ord_in_thread,author,published,title,tekst,language,crawled,site_url,country,domain_rank,thread_title,spam_score,main_img_url,replies_count,participants_count,likes,comments,shares,type
39,,NA,24/06/2017,Woman airlifted to Aberdeen hospital after falling down cliffs at Newtonhill Bay,NA,english,24/06/2017 14:11,http://www.dailyrecord.co.uk/news/scottish-news/woman-airlifted-aberdeen-hospital-after-10680237,UK,"14,725",The woman was climbing with a group when she fell onto rocks at around 9.30pm.,0,http://i1.dailyrecord.co.uk/incoming/article10680255.ece/ALTERNATES/s810/19388638_1426356644092847_6224235603627437029_o.jpg,0,0,0,0,0,news
40,,Lucinda Cameron,24/06/2017,Quarter of Scottish flights hit by delays with Edinburgh airport the country's worst offender,NA,englsih,24/06/2017 14:11,http://www.dailyrecord.co.uk/news/scottish-news/quarter-scottish-flights-hit-delays-10677437,UK,"14,725",A Which? study reveals passengers were kept waiting at least 15 minutes on 27 per cent of flights in 2016-17.,0,http://i3.dailyrecord.co.uk/incoming/article10677401.ece/ALTERNATES/s810/JS110463252.jpg,0,0,0,0,0,news
41,,NA,24/06/2017,Dutch terror threat remains ‘substantial’ despite recent wave of attacks,NA,english,24/06/2017 14:11,http://www.dutchnews.nl/news/archives/2017/06/dutch-terror-threat-remains-substantial-despite-recent-wave-of-attacks/,NL,"53,044",Dutch terror threat remains ‘substantial’ despite recent wave of attacks,0,http://www.dutchnews.nl/wpcms/wp-content/uploads/2015/03/jihad-syria-iraq-radicalised.jpg,0,0,0,0,0,news
42,,Record Sport Online,24/06/2017,Rangers make bid for Aberdeen star Kenny McLean but face fight with Birmingham for midfielder,NA,english,24/06/2017 14:02,http://www.dailyrecord.co.uk/sport/football/football-transfer-news/rangers-make-bid-aberdeen-star-10679084,UK,"14,725",Pedro Caixinha has made his move for the 25-year-old Dons ace but Brum boss Harry Redknapp is also an admirer.,0,http://i4.dailyrecord.co.uk/incoming/article10189504.ece/ALTERNATES/s615b/JS116533613.jpg,0,0,0,0,0,sports
43,,,24/06/2017,Gas grab and global warming could wipe out Wadden Sea heritage site,NA,english,24/06/2017 14:02,https://www.theguardian.com/environment/2017/jun/16/gas-grab-and-global-warming-could-wipe-out-wadden-sea-heritage-site?CMP=share_btn_link,,139,Gas grab and global warming could wipe out Wadden Sea heritage site,0,https://i.guim.co.uk/img/media/83a1d89820a12c14f9cbac9ac972a63988c73bdb/0_82_1606_1605/master/1606.jpg?w=620&q=20&auto=format&usm=12&fit=max&dpr=2&s=e1b5197a6493311ba5b2cc4318d4f913,0,0,0,0,0,news 
44,,Katie Forster,15/06/2017,"Eating chips twice a week 'doubles your chance of early death,' says study",NA,english,24/06/2017 14:02,http://www.independent.ie/life/food-drink/food-news/eating-chips-twice-a-week-doubles-your-chance-of-early-death-says-study-35829435.html,UK,"4,277","Eating chips twice a week 'doubles your chance of early death,' says study",0,http://cdn-03.independent.ie/incoming/article35829433.ece/c6bf2/AUTOCROP/w620/GettyImages-479816391.jpg,0,0,0,0,0,food
45,,NA,24/06/17,Irish farmers warned about Bluetongue virus after outbreaks in France,NA,english,24/06/2017 14:02,http://www.thejournal.ie/bluetongue-warning-3461839-Jun2017/,UK,"10,773",There have been 657 reported outbreaks in France since the start of this year.,0,http://c3.thejournal.ie/media/2017/06/sheep-25-390x285.jpg,0,0,0,0,0,news
46,,Suzanne CIiechalski,24/06/17,Instagram 'favorites' could change the way you share photos,NA,english,24/06/2017 14:11,http://mashable.com/2017/06/23/instagram-favorites-finstagram/?utm_cid=hp-r-1#KJ5B2xd8pmqL,US,823,Instagram 'favorites' could change the way you share photos,0,https://i.amz.mshcdn.com/du9sFAS12zSdPNkFgVyPPKI-V34=/950x534/filters:quality(90)/https%3A%2F%2Fblueprint-api-production.s3.amazonaws.com%2Fuploads%2Fcard%2Fimage%2F517251%2F352ce10a-13e0-4080-a451-64349ab0d429.jpg,0,0,0,0,0,tech
47,,NA,24/06/2017,"ChristenUnie to join coalition talks, serious negotiations start next week",NA,english,24/06/2017 14:11,http://www.dutchnews.nl/news/archives/2017/06/christenunie-to-join-coalition-talks-serious-negotiations-start-next-week/,NL,"53,044","ChristenUnie to join coalition talks, serious negotiations start next week",0,http://www.dutchnews.nl/wpcms/wp-content/uploads/2017/06/Dutch-parliament-in-the-sun.png,0,0,0,0,0,news
48,,NA,24/06/2017,Indian international school group Amity to open in Amstelveen,NA,english,24/06/2017 14:11,http://www.dutchnews.nl/news/archives/2017/06/indian-international-school-group-amity-to-open-in-amstelveen/,NL,"53,044",Indian international school group Amity to open in Amstelveen,0,http://www.dutchnews.nl/wpcms/wp-content/uploads/2017/06/Van-Leer-building.jpg,0,0,0,0,0,news
49,,Anne Lucey,24/06/2017,"Early intervention is key, says mother of suicide campaigner",NA,english,24/06/2017 14:11,https://www.irishtimes.com/news/social-affairs/early-intervention-is-key-says-mother-of-suicide-campaigner-1.3132660,UK,"4,963","Donal Walsh LiveLife Foundation has raised nearly €350,000 since teenager died in 2013",0,https://www.irishtimes.com/polopoly_fs/1.3132659.1498308456!/image/image.jpg_gen/derivatives/box_620_330/image.jpg,0,0,0,0,0,news
50,,JTA,22/06/2017,"Charedi Orthodox mob in Jerusalem pelts Israeli police with stones, calls soldiers Nazis",NA,english,24/06/2017 14:11,http://jewishjournal.com/news/israel/220866/charedi-orthodox-mob-jerusalem-pelts-israeli-police-stones-calls-soldiers-nazis/,US,"114,248","Charedi Orthodox mob in Jerusalem pelts Israeli police with stones, calls soldiers Nazis",0,http://jewishjournal.com/wp-content/uploads/2017/06/F080706LS05.jpg,0,0,0,0,0,news
